,User,Location,Tweet,Tweet_clean,Tweet_token,Tweet_nonstop
576,deannatwit,"Sydney, New South Wales",I feel so irreparably mentally emotionally by this pandemic Its like who I was prior to March 2020 I have no idea if shell ever come back My previous life like bittersweet nostalgia even though its been less than a year,I feel so irreparably mentally emotionally by this pandemic Its like who I was prior to March I have no idea if shell ever come back My previous life like bittersweet nostalgia even though its been less than a year,"['i', 'feel', 'so', 'irreparably', 'mentally', 'emotionally', 'by', 'this', 'pandemic', 'its', 'like', 'who', 'i', 'was', 'prior', 'to', 'march', 'i', 'have', 'no', 'idea', 'if', 'shell', 'ever', 'come', 'back', 'my', 'previous', 'life', 'like', 'bittersweet', 'nostalgia', 'even', 'though', 'its', 'been', 'less', 'than', 'a', 'year']","['feel', 'irreparably', 'mentally', 'emotionally', 'pandemic', 'like', 'prior', 'march', 'idea', 'shell', 'ever', 'come', 'back', 'previous', 'life', 'like', 'bittersweet', 'nostalgia', 'even', 'though', 'less', 'year']"
577,JakeAndersonDO,"Phoenix, AZ",youve been silent for as COVID19 Now with 10147 lost this is your move Our are are exhausted and our are irreparably We need action now,youve been silent for as COVID19 Now with lost this is your move Our are are exhausted and our are irreparably We need action now,"['youve', 'been', 'silent', 'for', 'as', 'covid19', 'now', 'with', 'lost', 'this', 'is', 'your', 'move', 'our', 'are', 'are', 'exhausted', 'and', 'our', 'are', 'irreparably', 'we', 'need', 'action', 'now']","['youve', 'silent', 'covid19', 'lost', 'move', 'exhausted', 'irreparably', 'need', 'action']"
578,olandgren,"Irvine, CA",He the from the Supreme on down to the sold off national and wildlife lined his with massive of money and irreparably multiple of failure to stick the landing doesnt belie the damage done,He the from the Supreme on down to the sold off national and wildlife lined his with massive of money and irreparably multiple of failure to stick the landing doesnt belie the damage done,"['he', 'the', 'from', 'the', 'supreme', 'on', 'down', 'to', 'the', 'sold', 'off', 'national', 'and', 'wildlife', 'lined', 'his', 'with', 'massive', 'of', 'money', 'and', 'irreparably', 'multiple', 'of', 'failure', 'to', 'stick', 'the', 'landing', 'doesnt', 'belie', 'the', 'damage', 'done']","['supreme', 'sold', 'national', 'wildlife', 'lined', 'massive', 'money', 'irreparably', 'multiple', 'failure', 'stick', 'landing', 'doesnt', 'belie', 'damage', 'done']"
579,TheCentryst,"Washington, DC",What easter egg did they plant in the Capital Nothing is safe our intelligence was irreparably should guarantee that all involved are responsible for capital murder and,What easter egg did they plant in the Capital Nothing is safe our intelligence was irreparably should guarantee that all involved are responsible for capital murder and,"['what', 'easter', 'egg', 'did', 'they', 'plant', 'in', 'the', 'capital', 'nothing', 'is', 'safe', 'our', 'intelligence', 'was', 'irreparably', 'should', 'guarantee', 'that', 'all', 'involved', 'are', 'responsible', 'for', 'capital', 'murder', 'and']","['easter', 'egg', 'plant', 'capital', 'nothing', 'safe', 'intelligence', 'irreparably', 'guarantee', 'involved', 'responsible', 'capital', 'murder']"
580,RedcliffeScott,Redcliffe,That 5 hit to is looking very conservative with whole some irreparably The free had to add to at five to midnight guess what it is as bad as the EU said it would be Tariff free is not free Penny,That hit to is looking very conservative with whole some irreparably The free had to add to at five to midnight guess what it is as bad as the EU said it would be Tariff free is not free Penny,"['that', 'hit', 'to', 'is', 'looking', 'very', 'conservative', 'with', 'whole', 'some', 'irreparably', 'the', 'free', 'had', 'to', 'add', 'to', 'at', 'five', 'to', 'midnight', 'guess', 'what', 'it', 'is', 'as', 'bad', 'as', 'the', 'eu', 'said', 'it', 'would', 'be', 'tariff', 'free', 'is', 'not', 'free', 'penny']","['hit', 'looking', 'conservative', 'whole', 'irreparably', 'free', 'add', 'five', 'midnight', 'guess', 'bad', 'eu', 'said', 'would', 'tariff', 'free', 'free', 'penny']"
581,MancinelliLee,,kristine38NN The entire country been by the Congress the Senate all media and social media yeah I understand lots of people have but a lots of and have also been ruined and irreparably by terrible leadership from both sides,kristine38NN The entire country been by the Congress the Senate all media and social media yeah I understand lots of people have but a lots of and have also been ruined and irreparably by terrible leadership from both sides,"['kristine38nn', 'the', 'entire', 'country', 'been', 'by', 'the', 'congress', 'the', 'senate', 'all', 'media', 'and', 'social', 'media', 'yeah', 'i', 'understand', 'lots', 'of', 'people', 'have', 'but', 'a', 'lots', 'of', 'and', 'have', 'also', 'been', 'ruined', 'and', 'irreparably', 'by', 'terrible', 'leadership', 'from', 'both', 'sides']","['kristine38nn', 'entire', 'country', 'congress', 'senate', 'media', 'social', 'media', 'yeah', 'understand', 'lots', 'people', 'lots', 'also', 'ruined', 'irreparably', 'terrible', 'leadership', 'sides']"
582,peachtaesty,"England, United Kingdom",Except it also made a portion of into either casual or full blown conspiracy or and it had irreparably entire social dynamics in the family and community I promise you it was never worth it because otherwise would have been the last,Except it also made a portion of into either casual or full blown conspiracy or and it had irreparably entire social dynamics in the family and community I promise you it was never worth it because otherwise would have been the last,"['except', 'it', 'also', 'made', 'a', 'portion', 'of', 'into', 'either', 'casual', 'or', 'full', 'blown', 'conspiracy', 'or', 'and', 'it', 'had', 'irreparably', 'entire', 'social', 'dynamics', 'in', 'the', 'family', 'and', 'community', 'i', 'promise', 'you', 'it', 'was', 'never', 'worth', 'it', 'because', 'otherwise', 'would', 'have', 'been', 'the', 'last']","['except', 'also', 'made', 'portion', 'either', 'casual', 'full', 'blown', 'conspiracy', 'irreparably', 'entire', 'social', 'dynamics', 'family', 'community', 'promise', 'never', 'worth', 'otherwise', 'would', 'last']"
583,lawconflicts,"Bethesda, Maryland",Irreparably standing abroad is not a consequence I guess,Irreparably standing abroad is not a consequence I guess,"['irreparably', 'standing', 'abroad', 'is', 'not', 'a', 'consequence', 'i', 'guess']","['irreparably', 'standing', 'abroad', 'consequence', 'guess']"
584,UnbridledTemper,,I ask the heavens a simple question Why must I only write as incredibly antisocial that are irreparably emotionally,I ask the heavens a simple question Why must I only write as incredibly antisocial that are irreparably emotionally,"['i', 'ask', 'the', 'heavens', 'a', 'simple', 'question', 'why', 'must', 'i', 'only', 'write', 'as', 'incredibly', 'antisocial', 'that', 'are', 'irreparably', 'emotionally']","['ask', 'heavens', 'simple', 'question', 'must', 'write', 'incredibly', 'antisocial', 'irreparably', 'emotionally']"
585,GregA1313,Bay Area #BanAssaultRifles🇺🇸,Pence bad news your party is irreparably Done Over,Pence bad news your party is irreparably Done Over,"['pence', 'bad', 'news', 'your', 'party', 'is', 'irreparably', 'done', 'over']","['pence', 'bad', 'news', 'party', 'irreparably', 'done']"
586,trustthejoshess,"Port Richmond, Philadelphia",trying to patch up his irreparably perception of him,trying to patch up his irreparably perception of him,"['trying', 'to', 'patch', 'up', 'his', 'irreparably', 'perception', 'of', 'him']","['trying', 'patch', 'irreparably', 'perception']"
587,Cuttlefisticuf1,"Awesometown, USA",They are so cute On the con side becoming a duck owner irreparably my peaceful relationship with,They are so cute On the con side becoming a duck owner irreparably my peaceful relationship with,"['they', 'are', 'so', 'cute', 'on', 'the', 'con', 'side', 'becoming', 'a', 'duck', 'owner', 'irreparably', 'my', 'peaceful', 'relationship', 'with']","['cute', 'con', 'side', 'becoming', 'duck', 'owner', 'irreparably', 'peaceful', 'relationship']"
588,AI_GANNON,"Las Vegas, NV",just saying that if it were to fall into Lake Mead and be irreparably and if you threw an grenade in after it Well there are worse happening in the world right,just saying that if it were to fall into Lake Mead and be irreparably and if you threw an grenade in after it Well there are worse happening in the world right,"['just', 'saying', 'that', 'if', 'it', 'were', 'to', 'fall', 'into', 'lake', 'mead', 'and', 'be', 'irreparably', 'and', 'if', 'you', 'threw', 'an', 'grenade', 'in', 'after', 'it', 'well', 'there', 'are', 'worse', 'happening', 'in', 'the', 'world', 'right']","['saying', 'fall', 'lake', 'mead', 'irreparably', 'threw', 'grenade', 'well', 'worse', 'happening', 'world', 'right']"
589,vharrelle71,,Irreparably the legitimacy of the executive and the exercise of our military power from the point of view of those outside our who do not want another faction on a global player level to gain complete control of global disposition of energy goods,Irreparably the legitimacy of the executive and the exercise of our military power from the point of view of those outside our who do not want another faction on a global player level to gain complete control of global disposition of energy goods,"['irreparably', 'the', 'legitimacy', 'of', 'the', 'executive', 'and', 'the', 'exercise', 'of', 'our', 'military', 'power', 'from', 'the', 'point', 'of', 'view', 'of', 'those', 'outside', 'our', 'who', 'do', 'not', 'want', 'another', 'faction', 'on', 'a', 'global', 'player', 'level', 'to', 'gain', 'complete', 'control', 'of', 'global', 'disposition', 'of', 'energy', 'goods']","['irreparably', 'legitimacy', 'executive', 'exercise', 'military', 'power', 'point', 'view', 'outside', 'want', 'another', 'faction', 'global', 'player', 'level', 'gain', 'complete', 'control', 'global', 'disposition', 'energy', 'goods']"
590,MontgomeryJen,,Take a stand By to both D R saying there was equal blame and irreparably democracy by voting against a free and fair election Punish them,Take a stand By to both D R saying there was equal blame and irreparably democracy by voting against a free and fair election Punish them,"['take', 'a', 'stand', 'by', 'to', 'both', 'd', 'r', 'saying', 'there', 'was', 'equal', 'blame', 'and', 'irreparably', 'democracy', 'by', 'voting', 'against', 'a', 'free', 'and', 'fair', 'election', 'punish', 'them']","['take', 'stand', 'r', 'saying', 'equal', 'blame', 'irreparably', 'democracy', 'voting', 'free', 'fair', 'election', 'punish']"
591,MontgomeryJen,,Take a stand By to both D R saying there was equal blame and irreparably democracy by voting against a free and fair election Punish them,Take a stand By to both D R saying there was equal blame and irreparably democracy by voting against a free and fair election Punish them,"['take', 'a', 'stand', 'by', 'to', 'both', 'd', 'r', 'saying', 'there', 'was', 'equal', 'blame', 'and', 'irreparably', 'democracy', 'by', 'voting', 'against', 'a', 'free', 'and', 'fair', 'election', 'punish', 'them']","['take', 'stand', 'r', 'saying', 'equal', 'blame', 'irreparably', 'democracy', 'voting', 'free', 'fair', 'election', 'punish']"
592,MontgomeryJen,,Take a stand By to both D R saying there was equal blame and irreparably democracy by voting against a free and fair election Punish them,Take a stand By to both D R saying there was equal blame and irreparably democracy by voting against a free and fair election Punish them,"['take', 'a', 'stand', 'by', 'to', 'both', 'd', 'r', 'saying', 'there', 'was', 'equal', 'blame', 'and', 'irreparably', 'democracy', 'by', 'voting', 'against', 'a', 'free', 'and', 'fair', 'election', 'punish', 'them']","['take', 'stand', 'r', 'saying', 'equal', 'blame', 'irreparably', 'democracy', 'voting', 'free', 'fair', 'election', 'punish']"
593,AndJust92223223,"Atlanta, GA",I dont watch golf but going to start Simply because you had the backbone to stand up to the Had you with the tournament I believe your brand would have been irreparably Kudos,I dont watch golf but going to start Simply because you had the backbone to stand up to the Had you with the tournament I believe your brand would have been irreparably Kudos,"['i', 'dont', 'watch', 'golf', 'but', 'going', 'to', 'start', 'simply', 'because', 'you', 'had', 'the', 'backbone', 'to', 'stand', 'up', 'to', 'the', 'had', 'you', 'with', 'the', 'tournament', 'i', 'believe', 'your', 'brand', 'would', 'have', 'been', 'irreparably', 'kudos']","['dont', 'watch', 'golf', 'going', 'start', 'simply', 'backbone', 'stand', 'tournament', 'believe', 'brand', 'would', 'irreparably', 'kudos']"
594,SincerelyAbhi,New Jersey,Absolutely an independent press hard is essential to a free and fair democracy However the media is responsible for trump becoming president They gave him endless a dark horse presidential race was great for but it irreparably our country,Absolutely an independent press hard is essential to a free and fair democracy However the media is responsible for trump becoming president They gave him endless a dark horse presidential race was great for but it irreparably our country,"['absolutely', 'an', 'independent', 'press', 'hard', 'is', 'essential', 'to', 'a', 'free', 'and', 'fair', 'democracy', 'however', 'the', 'media', 'is', 'responsible', 'for', 'trump', 'becoming', 'president', 'they', 'gave', 'him', 'endless', 'a', 'dark', 'horse', 'presidential', 'race', 'was', 'great', 'for', 'but', 'it', 'irreparably', 'our', 'country']","['absolutely', 'independent', 'press', 'hard', 'essential', 'free', 'fair', 'democracy', 'however', 'media', 'responsible', 'trump', 'becoming', 'president', 'gave', 'endless', 'dark', 'horse', 'presidential', 'race', 'great', 'irreparably', 'country']"
595,scoccaro,"32.776475, -79.931051",When she cute but is irreparably and not suitable for sale,When she cute but is irreparably and not suitable for sale,"['when', 'she', 'cute', 'but', 'is', 'irreparably', 'and', 'not', 'suitable', 'for', 'sale']","['cute', 'irreparably', 'suitable', 'sale']"
596,twunny20fission,New York,more in my combined with unprecedented stress combined with people to like a completely ineffective beginning to seriously worry that my mind is irreparably then sent,more in my combined with unprecedented stress combined with people to like a completely ineffective beginning to seriously worry that my mind is irreparably then sent,"['more', 'in', 'my', 'combined', 'with', 'unprecedented', 'stress', 'combined', 'with', 'people', 'to', 'like', 'a', 'completely', 'ineffective', 'beginning', 'to', 'seriously', 'worry', 'that', 'my', 'mind', 'is', 'irreparably', 'then', 'sent']","['combined', 'unprecedented', 'stress', 'combined', 'people', 'like', 'completely', 'ineffective', 'beginning', 'seriously', 'worry', 'mind', 'irreparably', 'sent']"
597,CSimo65,"Niagara Falls, Ontario",adrianoOo19 have irreparably the housing market across the Golden Horseshoe and nobody at any level of government to the economy beyond tourism or increasing minimum wage,adrianoOo19 have irreparably the housing market across the Golden Horseshoe and nobody at any level of government to the economy beyond tourism or increasing minimum wage,"['adrianooo19', 'have', 'irreparably', 'the', 'housing', 'market', 'across', 'the', 'golden', 'horseshoe', 'and', 'nobody', 'at', 'any', 'level', 'of', 'government', 'to', 'the', 'economy', 'beyond', 'tourism', 'or', 'increasing', 'minimum', 'wage']","['adrianooo19', 'irreparably', 'housing', 'market', 'across', 'golden', 'horseshoe', 'nobody', 'level', 'government', 'economy', 'beyond', 'tourism', 'increasing', 'minimum', 'wage']"
598,KorbinPheenix,"Hope, Arkansas",Too many people with clout that ALSO have and handling it the wrong way My suggestion is to watch the movie All this pinching people and your hand high school as the movement irreparably Silence on this is,Too many people with clout that ALSO have and handling it the wrong way My suggestion is to watch the movie All this pinching people and your hand high school as the movement irreparably Silence on this is,"['too', 'many', 'people', 'with', 'clout', 'that', 'also', 'have', 'and', 'handling', 'it', 'the', 'wrong', 'way', 'my', 'suggestion', 'is', 'to', 'watch', 'the', 'movie', 'all', 'this', 'pinching', 'people', 'and', 'your', 'hand', 'high', 'school', 'as', 'the', 'movement', 'irreparably', 'silence', 'on', 'this', 'is']","['many', 'people', 'clout', 'also', 'handling', 'wrong', 'way', 'suggestion', 'watch', 'movie', 'pinching', 'people', 'hand', 'high', 'school', 'movement', 'irreparably', 'silence']"
599,Sanity__please,,deeply unpopular and irreparably both his party and the country If could grow a spine and fully dump him it would be in their own best,deeply unpopular and irreparably both his party and the country If could grow a spine and fully dump him it would be in their own best,"['deeply', 'unpopular', 'and', 'irreparably', 'both', 'his', 'party', 'and', 'the', 'country', 'if', 'could', 'grow', 'a', 'spine', 'and', 'fully', 'dump', 'him', 'it', 'would', 'be', 'in', 'their', 'own', 'best']","['deeply', 'unpopular', 'irreparably', 'party', 'country', 'could', 'grow', 'spine', 'fully', 'dump', 'would', 'best']"
600,Faresdestroyer3, be here till the end ,I support everyone even if they hate me or forget about me or want nothing to do with me because they deserve support and if no one me or if no one about me because I wasnt brought in the world to be puppet,I support everyone even if they hate me or forget about me or want nothing to do with me because they deserve support and if no one me or if no one about me because I wasnt brought in the world to be puppet,"['i', 'support', 'everyone', 'even', 'if', 'they', 'hate', 'me', 'or', 'forget', 'about', 'me', 'or', 'want', 'nothing', 'to', 'do', 'with', 'me', 'because', 'they', 'deserve', 'support', 'and', 'if', 'no', 'one', 'me', 'or', 'if', 'no', 'one', 'about', 'me', 'because', 'i', 'wasnt', 'brought', 'in', 'the', 'world', 'to', 'be', 'puppet']","['support', 'everyone', 'even', 'hate', 'forget', 'want', 'nothing', 'deserve', 'support', 'one', 'one', 'wasnt', 'brought', 'world', 'puppet']"
601,phonegame_boy,,No One About Me my device is,No One About Me my device is,"['no', 'one', 'about', 'me', 'my', 'device', 'is']","['one', 'device']"
602,kashdrums,,Your name is literally end silence now But then you say who to me about saying the news needs to be more positive And if not paying attention say that and educate rather than just say no one,Your name is literally end silence now But then you say who to me about saying the news needs to be more positive And if not paying attention say that and educate rather than just say no one,"['your', 'name', 'is', 'literally', 'end', 'silence', 'now', 'but', 'then', 'you', 'say', 'who', 'to', 'me', 'about', 'saying', 'the', 'news', 'needs', 'to', 'be', 'more', 'positive', 'and', 'if', 'not', 'paying', 'attention', 'say', 'that', 'and', 'educate', 'rather', 'than', 'just', 'say', 'no', 'one']","['name', 'literally', 'end', 'silence', 'say', 'saying', 'news', 'needs', 'positive', 'paying', 'attention', 'say', 'educate', 'rather', 'say', 'one']"
603,axel_hexed,decentralized,that make me experience the Khan Or A Vision in a Dream A Fragment by a few in Marcel la recherche into and loudly no one or about,that make me experience the Khan Or A Vision in a Dream A Fragment by a few in Marcel la recherche into and loudly no one or about,"['that', 'make', 'me', 'experience', 'the', 'khan', 'or', 'a', 'vision', 'in', 'a', 'dream', 'a', 'fragment', 'by', 'a', 'few', 'in', 'marcel', 'la', 'recherche', 'into', 'and', 'loudly', 'no', 'one', 'or', 'about']","['make', 'experience', 'khan', 'vision', 'dream', 'fragment', 'marcel', 'la', 'recherche', 'loudly', 'one']"
604,phonegame_boy,,No One About Me shouting and yelling and crying,No One About Me shouting and yelling and crying,"['no', 'one', 'about', 'me', 'shouting', 'and', 'yelling', 'and', 'crying']","['one', 'shouting', 'yelling', 'crying']"
605,StevenQuoteBot,,Only my will notice because no one else about me,Only my will notice because no one else about me,"['only', 'my', 'will', 'notice', 'because', 'no', 'one', 'else', 'about', 'me']","['notice', 'one', 'else']"
606,phonegame_boy,,No One About Me,No One About Me,"['no', 'one', 'about', 'me']",['one']
607,Tayhatesevery1,,No Stop No one about Morris give me,No Stop No one about Morris give me,"['no', 'stop', 'no', 'one', 'about', 'morris', 'give', 'me']","['stop', 'one', 'morris', 'give']"
608,JigneshNimita,,No one is here to hear me or read my to know what i m feeling my day went my life going no one is really about Except the special only one whom i do not want to loose till my last breath,No one is here to hear me or read my to know what i m feeling my day went my life going no one is really about Except the special only one whom i do not want to loose till my last breath,"['no', 'one', 'is', 'here', 'to', 'hear', 'me', 'or', 'read', 'my', 'to', 'know', 'what', 'i', 'm', 'feeling', 'my', 'day', 'went', 'my', 'life', 'going', 'no', 'one', 'is', 'really', 'about', 'except', 'the', 'special', 'only', 'one', 'whom', 'i', 'do', 'not', 'want', 'to', 'loose', 'till', 'my', 'last', 'breath']","['one', 'hear', 'read', 'know', 'feeling', 'day', 'went', 'life', 'going', 'one', 'really', 'except', 'special', 'one', 'want', 'loose', 'till', 'last', 'breath']"
609,cluckafuck,,Bye bye then No one really about Trump or his so believe me no one will miss you,Bye bye then No one really about Trump or his so believe me no one will miss you,"['bye', 'bye', 'then', 'no', 'one', 'really', 'about', 'trump', 'or', 'his', 'so', 'believe', 'me', 'no', 'one', 'will', 'miss', 'you']","['bye', 'bye', 'one', 'really', 'trump', 'believe', 'one', 'miss']"
610,Campbell_liam__,Horny ,And people wonder why I think no one about me,And people wonder why I think no one about me,"['and', 'people', 'wonder', 'why', 'i', 'think', 'no', 'one', 'about', 'me']","['people', 'wonder', 'think', 'one']"
611,EviemaRee777,,gmandan007 VWalls4 Oh sad cry me a river Its to care so deeply about a man who for no one but himself It just your Only a weak man would look at tRump and think a strong man loser,gmandan007 VWalls4 Oh sad cry me a river Its to care so deeply about a man who for no one but himself It just your Only a weak man would look at tRump and think a strong man loser,"['gmandan007', 'vwalls4', 'oh', 'sad', 'cry', 'me', 'a', 'river', 'its', 'to', 'care', 'so', 'deeply', 'about', 'a', 'man', 'who', 'for', 'no', 'one', 'but', 'himself', 'it', 'just', 'your', 'only', 'a', 'weak', 'man', 'would', 'look', 'at', 'trump', 'and', 'think', 'a', 'strong', 'man', 'loser']","['gmandan007', 'vwalls4', 'oh', 'sad', 'cry', 'river', 'care', 'deeply', 'man', 'one', 'weak', 'man', 'would', 'look', 'trump', 'think', 'strong', 'man', 'loser']"
612,niallsbsketball,where do broken hearts go?,I dont really have any cool about me but I know a lot of random about anything and everything but no one actually about them and I live to sing even tho not very good at it now tell me random bout u,I dont really have any cool about me but I know a lot of random about anything and everything but no one actually about them and I live to sing even tho not very good at it now tell me random bout u,"['i', 'dont', 'really', 'have', 'any', 'cool', 'about', 'me', 'but', 'i', 'know', 'a', 'lot', 'of', 'random', 'about', 'anything', 'and', 'everything', 'but', 'no', 'one', 'actually', 'about', 'them', 'and', 'i', 'live', 'to', 'sing', 'even', 'tho', 'not', 'very', 'good', 'at', 'it', 'now', 'tell', 'me', 'random', 'bout', 'u']","['dont', 'really', 'cool', 'know', 'lot', 'random', 'anything', 'everything', 'one', 'actually', 'live', 'sing', 'even', 'tho', 'good', 'tell', 'random', 'bout', 'u']"
613,anthrochemist,Atomic Genesis,just start assuming right Just blanket right No one about me me attractive to be with me talk to me or engage me in anyway just going to be right,just start assuming right Just blanket right No one about me me attractive to be with me talk to me or engage me in anyway just going to be right,"['just', 'start', 'assuming', 'right', 'just', 'blanket', 'right', 'no', 'one', 'about', 'me', 'me', 'attractive', 'to', 'be', 'with', 'me', 'talk', 'to', 'me', 'or', 'engage', 'me', 'in', 'anyway', 'just', 'going', 'to', 'be', 'right']","['start', 'assuming', 'right', 'blanket', 'right', 'one', 'attractive', 'talk', 'engage', 'anyway', 'going', 'right']"
614,emmyy_award,"LI, NY",love waking up at 3 AM to my brain telling me going to be alone forever because no one about me,love waking up at AM to my brain telling me going to be alone forever because no one about me,"['love', 'waking', 'up', 'at', 'am', 'to', 'my', 'brain', 'telling', 'me', 'going', 'to', 'be', 'alone', 'forever', 'because', 'no', 'one', 'about', 'me']","['love', 'waking', 'brain', 'telling', 'going', 'alone', 'forever', 'one']"
615,cutiemilaaa,she/her ,the one who no one about everyone me and then they have the audacity to call me shy,the one who no one about everyone me and then they have the audacity to call me shy,"['the', 'one', 'who', 'no', 'one', 'about', 'everyone', 'me', 'and', 'then', 'they', 'have', 'the', 'audacity', 'to', 'call', 'me', 'shy']","['one', 'one', 'everyone', 'audacity', 'call', 'shy']"
616,C0kEkgs,170cm ,suicide i should honestly just die alive would hurt have no one no no one who about me just feel so bad but i hate how i am of actually,suicide i should honestly just die alive would hurt have no one no no one who about me just feel so bad but i hate how i am of actually,"['suicide', 'i', 'should', 'honestly', 'just', 'die', 'alive', 'would', 'hurt', 'have', 'no', 'one', 'no', 'no', 'one', 'who', 'about', 'me', 'just', 'feel', 'so', 'bad', 'but', 'i', 'hate', 'how', 'i', 'am', 'of', 'actually']","['suicide', 'honestly', 'die', 'alive', 'would', 'hurt', 'one', 'one', 'feel', 'bad', 'hate', 'actually']"
617,SomethingPurpul,pfp by @thebottlebear ,Even now I wish people about me been a little all my life since I was 2 I to go back to but I feel no one about me as a little My and life and self are unimportant I have to grow on my own no one to be by my side,Even now I wish people about me been a little all my life since I was I to go back to but I feel no one about me as a little My and life and self are unimportant I have to grow on my own no one to be by my side,"['even', 'now', 'i', 'wish', 'people', 'about', 'me', 'been', 'a', 'little', 'all', 'my', 'life', 'since', 'i', 'was', 'i', 'to', 'go', 'back', 'to', 'but', 'i', 'feel', 'no', 'one', 'about', 'me', 'as', 'a', 'little', 'my', 'and', 'life', 'and', 'self', 'are', 'unimportant', 'i', 'have', 'to', 'grow', 'on', 'my', 'own', 'no', 'one', 'to', 'be', 'by', 'my', 'side']","['even', 'wish', 'people', 'little', 'life', 'since', 'go', 'back', 'feel', 'one', 'little', 'life', 'self', 'unimportant', 'grow', 'one', 'side']"
618,Pikaplays12,,Alex52657600 feera0909 it you go first tho so its a scam and no one about adopt me,Alex52657600 feera0909 it you go first tho so its a scam and no one about adopt me,"['alex52657600', 'feera0909', 'it', 'you', 'go', 'first', 'tho', 'so', 'its', 'a', 'scam', 'and', 'no', 'one', 'about', 'adopt', 'me']","['alex52657600', 'feera0909', 'go', 'first', 'tho', 'scam', 'one', 'adopt']"
619,Pikaplays12,,Alex52657600 no one about adopt me,Alex52657600 no one about adopt me,"['alex52657600', 'no', 'one', 'about', 'adopt', 'me']","['alex52657600', 'one', 'adopt']"
620,radiffaputrap,,who about me no one,who about me no one,"['who', 'about', 'me', 'no', 'one']",['one']
621,Pagecamper1,"Living in my Head, NC ",I will boycott any company that the treasonous bitch Like I have with the first tub of sanders and the my pillow con man Of course no one about my but they make me feel better,I will boycott any company that the treasonous bitch Like I have with the first tub of sanders and the my pillow con man Of course no one about my but they make me feel better,"['i', 'will', 'boycott', 'any', 'company', 'that', 'the', 'treasonous', 'bitch', 'like', 'i', 'have', 'with', 'the', 'first', 'tub', 'of', 'sanders', 'and', 'the', 'my', 'pillow', 'con', 'man', 'of', 'course', 'no', 'one', 'about', 'my', 'but', 'they', 'make', 'me', 'feel', 'better']","['boycott', 'company', 'treasonous', 'bitch', 'like', 'first', 'tub', 'sanders', 'pillow', 'con', 'man', 'course', 'one', 'make', 'feel', 'better']"
622,BarcaA7mad,,mbrma7 No one about career give me per first then speak,mbrma7 No one about career give me per first then speak,"['mbrma7', 'no', 'one', 'about', 'career', 'give', 'me', 'per', 'first', 'then', 'speak']","['mbrma7', 'one', 'career', 'give', 'per', 'first', 'speak']"
623,Irishpalaeo,"Rathkeale,Limerick, Ireland",huh I was not aware this was a bless the fact no one in enough about to follow me,huh I was not aware this was a bless the fact no one in enough about to follow me,"['huh', 'i', 'was', 'not', 'aware', 'this', 'was', 'a', 'bless', 'the', 'fact', 'no', 'one', 'in', 'enough', 'about', 'to', 'follow', 'me']","['huh', 'aware', 'bless', 'fact', 'one', 'enough', 'follow']"
624,Ram83661947,,bank is bank in the world bank for my account passbook no one about just sitting and busy with waiting for 1 hour and then they give me a form to fill up,bank is bank in the world bank for my account passbook no one about just sitting and busy with waiting for hour and then they give me a form to fill up,"['bank', 'is', 'bank', 'in', 'the', 'world', 'bank', 'for', 'my', 'account', 'passbook', 'no', 'one', 'about', 'just', 'sitting', 'and', 'busy', 'with', 'waiting', 'for', 'hour', 'and', 'then', 'they', 'give', 'me', 'a', 'form', 'to', 'fill', 'up']","['bank', 'bank', 'world', 'bank', 'account', 'passbook', 'one', 'sitting', 'busy', 'waiting', 'hour', 'give', 'form', 'fill']"
625,asherannaldayr3,"Batangas City, Calabarzon",Can you just be true to yourself Dont act like when really not It me seeing you endure the pain feeling If you think no one about you Ill be that no one just for,Can you just be true to yourself Dont act like when really not It me seeing you endure the pain feeling If you think no one about you Ill be that no one just for,"['can', 'you', 'just', 'be', 'true', 'to', 'yourself', 'dont', 'act', 'like', 'when', 'really', 'not', 'it', 'me', 'seeing', 'you', 'endure', 'the', 'pain', 'feeling', 'if', 'you', 'think', 'no', 'one', 'about', 'you', 'ill', 'be', 'that', 'no', 'one', 'just', 'for']","['true', 'dont', 'act', 'like', 'really', 'seeing', 'endure', 'pain', 'feeling', 'think', 'one', 'ill', 'one']"
626,lackofadventure,,While I love and support the media making about or coming out is so dumb to me There are everywhere now Its old Its like being straight no one,While I love and support the media making about or coming out is so dumb to me There are everywhere now Its old Its like being straight no one,"['while', 'i', 'love', 'and', 'support', 'the', 'media', 'making', 'about', 'or', 'coming', 'out', 'is', 'so', 'dumb', 'to', 'me', 'there', 'are', 'everywhere', 'now', 'its', 'old', 'its', 'like', 'being', 'straight', 'no', 'one']","['love', 'support', 'media', 'making', 'coming', 'dumb', 'everywhere', 'old', 'like', 'straight', 'one']"
627,lightsupangels,germany,and now not talking to me this point she me to know that no one about me,and now not talking to me this point she me to know that no one about me,"['and', 'now', 'not', 'talking', 'to', 'me', 'this', 'point', 'she', 'me', 'to', 'know', 'that', 'no', 'one', 'about', 'me']","['talking', 'point', 'know', 'one']"
628,SusanStein5,,How do you know God is a he Off topic It just to me that no one about when or Jordan are involved,How do you know God is a he Off topic It just to me that no one about when or Jordan are involved,"['how', 'do', 'you', 'know', 'god', 'is', 'a', 'he', 'off', 'topic', 'it', 'just', 'to', 'me', 'that', 'no', 'one', 'about', 'when', 'or', 'jordan', 'are', 'involved']","['know', 'god', 'topic', 'one', 'jordan', 'involved']"
