,User,Location,Tweet,Tweet_clean,Tweet_token,Tweet_nonstop
14,BlakePa19548913,,O3jfrye Whats the point of this drill Its not like they are going to hit behind their back This is just pointless STOP IT,O3jfrye Whats the point of this drill Its not like they are going to hit behind their back This is just pointless STOP IT,"['o3jfrye', 'whats', 'the', 'point', 'of', 'this', 'drill', 'its', 'not', 'like', 'they', 'are', 'going', 'to', 'hit', 'behind', 'their', 'back', 'this', 'is', 'just', 'pointless', 'stop', 'it']","['o3jfrye', 'whats', 'point', 'drill', 'like', 'going', 'hit', 'behind', 'back', 'pointless', 'stop']"
15,garrick_steph,"Mississauga, Ontario",The point of this thread is that the news is not being kind to her and I know its easy to say why was she alone and all that but this was a young girl just doing what she and daughter is gone so now is not the time to criticize her,The point of this thread is that the news is not being kind to her and I know its easy to say why was she alone and all that but this was a young girl just doing what she and daughter is gone so now is not the time to criticize her,"['the', 'point', 'of', 'this', 'thread', 'is', 'that', 'the', 'news', 'is', 'not', 'being', 'kind', 'to', 'her', 'and', 'i', 'know', 'its', 'easy', 'to', 'say', 'why', 'was', 'she', 'alone', 'and', 'all', 'that', 'but', 'this', 'was', 'a', 'young', 'girl', 'just', 'doing', 'what', 'she', 'and', 'daughter', 'is', 'gone', 'so', 'now', 'is', 'not', 'the', 'time', 'to', 'criticize', 'her']","['point', 'thread', 'news', 'kind', 'know', 'easy', 'say', 'alone', 'young', 'girl', 'daughter', 'gone', 'time', 'criticize']"
16,K_A_L_O_N_E,,JrHasanali2512 This is my point What is the negative to Where is one Find it literally expect him to win every single game he that is why the he finally have something to say,JrHasanali2512 This is my point What is the negative to Where is one Find it literally expect him to win every single game he that is why the he finally have something to say,"['jrhasanali2512', 'this', 'is', 'my', 'point', 'what', 'is', 'the', 'negative', 'to', 'where', 'is', 'one', 'find', 'it', 'literally', 'expect', 'him', 'to', 'win', 'every', 'single', 'game', 'he', 'that', 'is', 'why', 'the', 'he', 'finally', 'have', 'something', 'to', 'say']","['jrhasanali2512', 'point', 'negative', 'one', 'find', 'literally', 'expect', 'win', 'every', 'single', 'game', 'finally', 'something', 'say']"
17,winnetouview,"Hi-Desert, CA",ASKEsq29 mouseketeer1283 Ha what a dumb take So flew into and they thought was next Thats the point trump didnt have a worry it was not an unknown,ASKEsq29 mouseketeer1283 Ha what a dumb take So flew into and they thought was next Thats the point trump didnt have a worry it was not an unknown,"['askesq29', 'mouseketeer1283', 'ha', 'what', 'a', 'dumb', 'take', 'so', 'flew', 'into', 'and', 'they', 'thought', 'was', 'next', 'thats', 'the', 'point', 'trump', 'didnt', 'have', 'a', 'worry', 'it', 'was', 'not', 'an', 'unknown']","['askesq29', 'mouseketeer1283', 'ha', 'dumb', 'take', 'flew', 'thought', 'next', 'thats', 'point', 'trump', 'didnt', 'worry', 'unknown']"
18,DexterTalbert,"Texas, USA",Thats my whole point Why wasnt his productivity better with more Because not that guy a complimentary player Cant lead a team and can be 8ppg and 6rb with G on the team not knocking him just saying this is what he is,Thats my whole point Why wasnt his productivity better with more Because not that guy a complimentary player Cant lead a team and can be ppg and rb with G on the team not knocking him just saying this is what he is,"['thats', 'my', 'whole', 'point', 'why', 'wasnt', 'his', 'productivity', 'better', 'with', 'more', 'because', 'not', 'that', 'guy', 'a', 'complimentary', 'player', 'cant', 'lead', 'a', 'team', 'and', 'can', 'be', 'ppg', 'and', 'rb', 'with', 'g', 'on', 'the', 'team', 'not', 'knocking', 'him', 'just', 'saying', 'this', 'is', 'what', 'he', 'is']","['thats', 'whole', 'point', 'wasnt', 'productivity', 'better', 'guy', 'complimentary', 'player', 'cant', 'lead', 'team', 'ppg', 'rb', 'g', 'team', 'knocking', 'saying']"
19,nolikewhy,he/him straight (14 yrs) ,Your point if thats just most people say way its the same a show the expression of oneself as and thats whats important,Your point if thats just most people say way its the same a show the expression of oneself as and thats whats important,"['your', 'point', 'if', 'thats', 'just', 'most', 'people', 'say', 'way', 'its', 'the', 'same', 'a', 'show', 'the', 'expression', 'of', 'oneself', 'as', 'and', 'thats', 'whats', 'important']","['point', 'thats', 'people', 'say', 'way', 'show', 'expression', 'oneself', 'thats', 'whats', 'important']"
20,SedIdkTbh,idk,gcp2000 famouslos32 the point is its hypocritical on both sides what arent you getting Perk would never bring this up if AD closed a game for but cause its he some to say This is simple,gcp2000 famouslos32 the point is its hypocritical on both sides what arent you getting Perk would never bring this up if AD closed a game for but cause its he some to say This is simple,"['gcp2000', 'famouslos32', 'the', 'point', 'is', 'its', 'hypocritical', 'on', 'both', 'sides', 'what', 'arent', 'you', 'getting', 'perk', 'would', 'never', 'bring', 'this', 'up', 'if', 'ad', 'closed', 'a', 'game', 'for', 'but', 'cause', 'its', 'he', 'some', 'to', 'say', 'this', 'is', 'simple']","['gcp2000', 'famouslos32', 'point', 'hypocritical', 'sides', 'arent', 'getting', 'perk', 'would', 'never', 'bring', 'ad', 'closed', 'game', 'cause', 'say', 'simple']"
21,safeschoolsny,NYC,will you publish the prevalence s incidence s of recent They yield ample evidence that moving to remote would be for school to what is being by keeping open Too much risk at this point,will you publish the prevalence s incidence s of recent They yield ample evidence that moving to remote would be for school to what is being by keeping open Too much risk at this point,"['will', 'you', 'publish', 'the', 'prevalence', 's', 'incidence', 's', 'of', 'recent', 'they', 'yield', 'ample', 'evidence', 'that', 'moving', 'to', 'remote', 'would', 'be', 'for', 'school', 'to', 'what', 'is', 'being', 'by', 'keeping', 'open', 'too', 'much', 'risk', 'at', 'this', 'point']","['publish', 'prevalence', 'incidence', 'recent', 'yield', 'ample', 'evidence', 'moving', 'remote', 'would', 'school', 'keeping', 'open', 'much', 'risk', 'point']"
22,Tibou33969029,,It is a great shame that stupidity no limit unlike intelligence Very often people live to regret their stupid but whats the point in crying over milk What goes around comes around,It is a great shame that stupidity no limit unlike intelligence Very often people live to regret their stupid but whats the point in crying over milk What goes around comes around,"['it', 'is', 'a', 'great', 'shame', 'that', 'stupidity', 'no', 'limit', 'unlike', 'intelligence', 'very', 'often', 'people', 'live', 'to', 'regret', 'their', 'stupid', 'but', 'whats', 'the', 'point', 'in', 'crying', 'over', 'milk', 'what', 'goes', 'around', 'comes', 'around']","['great', 'shame', 'stupidity', 'limit', 'unlike', 'intelligence', 'often', 'people', 'live', 'regret', 'stupid', 'whats', 'point', 'crying', 'milk', 'goes', 'around', 'comes', 'around']"
23,InaRebelling,,Whats the point of the Ten if you havent a single one name in vain,Whats the point of the Ten if you havent a single one name in vain,"['whats', 'the', 'point', 'of', 'the', 'ten', 'if', 'you', 'havent', 'a', 'single', 'one', 'name', 'in', 'vain']","['whats', 'point', 'ten', 'havent', 'single', 'one', 'name', 'vain']"
